COD,NOMBRE,MODELO,PRECIO,FECHA_LANZAMIENTO
3b6c6f58-79b9-434b-82ab-01a2d6e4434a,Spiderman Delight,MARVEL,15.99,2022-05-01
f8f7ae42-5b01-4d3b-82ab-2d1a2d6e4434a,Stitch Hula,DISNEY,25.99,2023-01-01
6b6c6f58-7c6b-434b-82ab-01b2d6e4434a,Naruto Shippuden,ANIME,19.99,2022-08-01
a8f7ae42-5b01-4d3b-82ab-2d1a2d6e4434a,Iron Man Classic,MARVEL,18.99,2022-06-01
b6c6f58-7c6b-434b-82ab-01b2d6e4434a,Stitch Space Suit,DISNEY,22.99,2023-02-01
5b6c6f58-7c6b-434b-82ab-01b2d6e4434a,One Piece Luffy,ANIME,19.99,2022-08-01
c6c6f58-7c6b-434b-82ab-01b2d6e4434a,Captain America Shield,MARVEL,20.99,2022-07-01
d6c6f58-7c6b-434b-82ab-01b2d6e4434a,Stitch Surfer,DISNEY,23.99,2023-03-01
e6c6f58-7c6b-434b-82ab-01b2d6e4434a,Attack on Titan Eren,ANIME,21.99,2022-09-01
f6c6f58-7c6b-434b-82ab-01b2d6e4434a,Thor Hammer,MARVEL,16.99,2022-10-01
1b6c6f58-7c6b-434b-82ab-01b2d6e4434a,Stitch Guitar,DISNEY,24.99,2023-04-01
2b6c6f58-7c6b-434b-82ab-01b2d6e4434a,My Hero Academia Deku,ANIME,20.99,2022-11-01
3b6c6f58-7c6b-434b-82ab-01b2d6e4434a,Hulk Smash,MARVEL,17.99,2022-12-01
4b6c6f58-7c6b-434b-82ab-01b2d6e4434a,Stitch Alien,DISNEY,26.99,2023-05-01
5b6c6f58-7c6b-434b-82ab-01b2d6e4434a,Dragon Ball Goku,ANIME,22.99,2022-01-01
6b6c6f58-7c6b-434b-82ab-01b2d6e4434a,Black Widow Spy,MARVEL,18.99,2022-02-01
7b6c6f58-7c6b-434b-82ab-01b2d6e4434a,Stitch King,DISNEY,27.99,2023-06-01
8b6c6f58-7c6b-434b-82ab-01b2d6e4434a,One Punch Man,ANIME,23.99,2022-03-01
9b6c6f58-7c6b-434b-82ab-01b2d6e4434a,Thanos Infinity,MARVEL,19.99,2022-04-01
ab6c6f58-7c6b-434b-82ab-01b2d6e4434a,Stitch Pilot,DISNEY,28.99,2023-07-01
1b6c6f58-7c6b-434b-82ab-01b2d6e4434b,Batman Dark,MARVEL,21.99,2023-08-01
2b6c6f58-7c6b-434b-82ab-01b2d6e4434b,Stitch Santa,DISNEY,29.99,2023-09-01
3b6c6f58-7c6b-434b-82ab-01b2d6e4434b,Bleach Ichigo,ANIME,24.99,2022-05-01
4b6c6f58-7c6b-434b-82ab-01b2d6e4434b,Wolverine Claws,MARVEL,22.99,2023-10-01
5b6c6f58-7c6b-434b-82ab-01b2d6e4434b,Stitch Chef,DISNEY,30.99,2023-11-01
6b6c6f58-7c6b-434b-82ab-01b2d6e4434b,Death Note Light,ANIME,25.99,2022-06-01
7b6c6f58-7c6b-434b-82ab-01b2d6e4434b,Hawkeye Archer,MARVEL,23.99,2023-12-01
8b6c6f58-7c6b-434b-82ab-01b2d6e4434b,Stitch Doctor,DISNEY,31.99,2022-07-01
9b6c6f58-7c6b-434b-82ab-01b2d6e4434b,Sword Art Online Kirito,ANIME,26.99,2022-08-01
ab6c6f58-7c6b-434b-82ab-01b2d6e4434b,Captain Marvel Flight,MARVEL,24.99,2023-01-01
bb6c6f58-7c6b-434b-82ab-01b2d6e4434b,Stitch Firefighter,DISNEY,32.99,2022-09-01
cb6c6f58-7c6b-434b-82ab-01b2d6e4434b,Tokyo Ghoul Kaneki,ANIME,27.99,2022-10-01
db6c6f58-7c6b-434b-82ab-01b2d6e4434b,Doctor Strange Magic,MARVEL,25.99,2023-02-01
eb6c6f58-7c6b-434b-82ab-01b2d6e4434b,Stitch Astronaut,DISNEY,33.99,2022-11-01
fb6c6f58-7c6b-434b-82ab-01b2d6e4434b,Fairy Tail Natsu,ANIME,28.99,2022-12-01
1b6c6f58-7c6b-434b-82ab-01b2d6e4434c,Black Panther King,MARVEL,26.99,2023-03-01
2b6c6f58-7c6b-434b-82ab-01b2d6e4434c,Stitch Pirate,DISNEY,34.99,2023-04-01
3b6c6f58-7c6b-434b-82ab-01b2d6e4434c,One Piece Zoro,ANIME,29.99,2023-05-01
4b6c6f58-7c6b-434b-82ab-01b2d6e4434c,Deadpool Swords,MARVEL,27.99,2023-06-01
5b6c6f58-7c6b-434b-82ab-01b2d6e4434c,Stitch Cowboy,DISNEY,35.99,2023-07-01
1c6c6f58-7c6b-434b-82ab-01c2d6e4434b,Iron Man Flight,MARVEL,28.99,2023-09-01
2c6c6f58-7c6b-434b-82ab-01c2d6e4434b,Stitch Footballer,DISNEY,36.99,2023-10-01
3c6c6f58-7c6b-434b-82ab-01c2d6e4434b,Naruto Uzumaki,ANIME,30.99,2022-01-01
4c6c6f58-7c6b-434b-82ab-01c2d6e4434b,Thor Hammer,MARVEL,29.99,2023-11-01
5c6c6f58-7c6b-434b-82ab-01c2d6e4434b,Stitch Surfer,DISNEY,37.99,2023-12-01
6c6c6f58-7c6b-434b-82ab-01c2d6e4434b,One Punch Man Saitama,ANIME,31.99,2022-02-01
7c6c6f58-7c6b-434b-82ab-01c2d6e4434b,Scarlet Witch Powers,MARVEL,30.99,2022-03-01
8c6c6f58-7c6b-434b-82ab-01c2d6e4434b,Stitch Basketball,DISNEY,38.99,2022-04-01
9c6c6f58-7c6b-434b-82ab-01c2d6e4434b,Attack on Titan Eren,ANIME,32.99,2022-05-01
ac6c6f58-7c6b-434b-82ab-01c2d6e4434b,Loki Mischief,MARVEL,31.99,2022-06-01
bc6c6f58-7c6b-434b-82ab-01c2d6e4434b,Stitch Baseball,DISNEY,39.99,2022-07-01
cc6c6f58-7c6b-434b-82ab-01c2d6e4434b,My Hero Academia Deku,ANIME,33.99,2022-08-01
dc6c6f58-7c6b-434b-82ab-01c2d6e4434b,Ant-Man Shrink,MARVEL,32.99,2022-09-01
ec6c6f58-7c6b-434b-82ab-01c2d6e4434b,Stitch Skater,DISNEY,40.99,2022-10-01
fc6c6f58-7c6b-434b-82ab-01c2d6e4434b,Dragon Ball Goku,ANIME,34.99,2022-11-01
1c6c6f58-7c6b-434b-82ab-01c2d6e4434c,Vision Synthezoid,MARVEL,33.99,2022-12-01
2c6c6f58-7c6b-434b-82ab-01c2d6e4434c,Stitch Painter,DISNEY,41.99,2023-01-01
3c6c6f58-7c6b-434b-82ab-01c2d6e4434c,Hunter x Hunter Gon,ANIME,35.99,2023-02-01
4c6c6f58-7c6b-434b-82ab-01c2d6e4434c,Black Widow Spies,MARVEL,34.99,2023-03-01
5c6c6f58-7c6b-434b-82ab-01c2d6e4434c,Stitch Diver,DISNEY,42.99,2023-04-01
1d6c6f58-7c6b-434b-82ab-01d2d6e4434b,Thor Thunder,MARVEL,32.99,2023-11-01
2d6c6f58-7c6b-434b-82ab-01d2d6e4434b,Stitch Space,DISNEY,39.99,2023-12-01
3d6c6f58-7c6b-434b-82ab-01d2d6e4434b,One Piece Luffy,ANIME,35.99,2023-10-01
4d6c6f58-7c6b-434b-82ab-01d2d6e4434b,Captain America Shield,MARVEL,33.99,2023-11-02
5d6c6f58-7c6b-434b-82ab-01d2d6e4434b,Stitch Surfer,DISNEY,42.99,2023-12-02
6d6c6f58-7c6b-434b-82ab-01d2d6e4434b,Dragon Ball Goku,ANIME,37.99,2023-10-02
7d6c6f58-7c6b-434b-82ab-01d2d6e4434b,Hulk Smash,MARVEL,34.99,2023-11-03
8d6c6f58-7c6b-434b-82ab-01d2d6e4434b,Stitch Pirate,DISNEY,45.99,2023-12-03
9d6c6f58-7c6b-434b-82ab-01d2d6e4434b,Attack on Titan Eren,ANIME,40.99,2023-10-03
ad6c6f58-7c6b-434b-82ab-01d2d6e4434b,Black Widow Spy,MARVEL,35.99,2023-11-04
bd6c6f58-7c6b-434b-82ab-01d2d6e4434b,Stitch Cook,DISNEY,48.99,2023-12-04
cd6c6f58-7c6b-434b-82ab-01d2d6e4434b,My Hero Academia Deku,ANIME,42.99,2023-10-04
dd6c6f58-7c6b-434b-82ab-01d2d6e4434b,Doctor Strange Mystic,MARVEL,36.99,2023-11-05
ed6c6f58-7c6b-434b-82ab-01d2d6e4434b,Stitch Musician,DISNEY,51.99,2023-12-05
fd6c6f58-7c6b-434b-82ab-01d2d6e4434b,Tokyo Ghoul Kaneki,ANIME,45.99,2023-10-05
1d6c6f58-7c6b-434b-82ab-01d2d6e4434b,The Witcher Geralt,OTROS,38.99,2023-11-01
2d6c6f58-7c6b-434b-82ab-01d2d6e4434b,The Mandalorian,OTROS,41.99,2023-12-01
3d6c6f58-7c6b-434b-82ab-01d2d6e4434b,Harry Potter,OTROS,39.99,2023-10-01
4d6c6f58-7c6b-434b-82ab-01d2d6e4434b,Stranger Things Eleven,OTROS,40.99,2023-11-02
5d6c6f58-7c6b-434b-82ab-01d2d6e4434b,Game of Thrones Jon Snow,OTROS,43.99,2023-12-02
6d6c6f58-7c6b-434b-82ab-01d2d6e4434b,The Office Michael,OTROS,42.99,2023-10-02
7d6c6f58-7c6b-434b-82ab-01d2d6e4434b,Friends Ross,OTROS,44.99,2023-11-03
8d6c6f58-7c6b-434b-82ab-01d2d6e4434b,The Simpsons Homer,OTROS,45.99,2023-12-03
9d6c6f58-7c6b-434b-82ab-01d2d6e4434b,Breaking Bad Walter,OTROS,46.99,2023-10-03
ad6c6f58-7c6b-434b-82ab-01d2d6e4434b,Star Trek Spock,OTROS,47.99,2023-11-04
bd6c6f58-7c6b-434b-82ab-01d2d6e4434b,Lord of the Rings Frodo,OTROS,48.99,2023-12-04
cd6c6f58-7c6b-434b-82ab-01d2d6e4434b,The Big Bang Theory Sheldon,OTROS,49.99,2023-10-04
dd6c6f58-7c6b-434b-82ab-01d2d6e4434b,Sherlock Holmes,OTROS,50.99,2023-11-05
ed6c6f58-7c6b-434b-82ab-01d2d6e4434b,Doctor Who Tardis,OTROS,51.99,2023-12-05
fd6c6f58-7c6b-434b-82ab-01d2d6e4434b,Peaky Blinders Tommy,OTROS,52.99,2023-10-05
